Pair Name	Domain1	SCOP ID1	Range1	Domain2	SCOP ID2	Range2	SCOP Class	SCOP Fold	SCOP Superfamily	SCOP Family	 SCOP Protein
d1hh2p2	1hh2_P1	d1hh2p2	(P199-P278)	1hh2_P2	d1hh2p3	(P279-P344)	Alpha and beta proteins (a+b)	Alpha-lytic protease prodomain-like	Prokaryotic type KH domain (KH-domain type II)	Prokaryotic type KH domain (KH-domain type II)	Transcription factor NusA, C-terminal domains
d1hr6a1	1hr6_A1	d1hr6a1	(A14-A234)	1hr6_A2	d1hr6a2	(A235-A470)	Alpha and beta proteins (a+b)	LuxS/MPP-like metallohydrolase	LuxS/MPP-like metallohydrolase	MPP-like	Mitochondrial processing peptidase (MPP) alpha chain
d1hs6a2	1hs6_A1	d1hs6a2	(A1-A113)	1hs6_A2	d1hs6a2	(A114-A208)	All beta proteins	Leukotriene A4 hydrolase N-terminal domain	Leukotriene A4 hydrolase N-terminal domain	Leukotriene A4 hydrolase N-terminal domain	Leukotriene A4 hydrolase N-terminal domain
d1hsla_	1hsl_A1	d1hsla_	(A1-A103)	1hsl_A2	d1hsla_	(A104-A238)	Alpha and beta proteins (a/b)	Periplasmic binding protein-like II	Periplasmic binding protein-like II	Phosphate binding protein-like	Histidine-binding protein
d1hxpa1	1hxp_A1	d1hxpa1	(A44-A177)	1hxp_A2	d1hxpa2	(A178-A348)	Alpha and beta proteins (a+b)	HIT-like	HIT-like	Hexose-1-phosphate uridylyltransferase	Galactose-1-phosphate uridylyltransferase
d1i1qa__1	1i1q_A1	d1i1qa_	(A5-A57,A178-A224)	1i1q_A2	d1i1qa_	(A99-A177,A58-A98)	Alpha and beta proteins (a+b)	ADC synthase	ADC synthase	ADC synthase	Anthranilate synthase aminodeoxyisochorismate synthase/lyase subunit, TrpE
d1i1qa__2	1i1q_A2	d1i1qa_	(A99-A177,A58-A98)	1i1q_A3	d1i1qa_	(A258-A310,A466-A516)	Alpha and beta proteins (a+b)	ADC synthase	ADC synthase	ADC synthase	Anthranilate synthase aminodeoxyisochorismate synthase/lyase subunit, TrpE
d1i1qa__3	1i1q_A3	d1i1qa_	(A258-A310,A466-A516)	1i1q_A4	d1i1qa_	(A387-A465,A311-A386)	Alpha and beta proteins (a+b)	ADC synthase	ADC synthase	ADC synthase	Anthranilate synthase aminodeoxyisochorismate synthase/lyase subunit, TrpE
d1i1qa__4	1i1q_A1	d1i1qa_	(A5-A57,A178-A224)	1i1q_A4	d1i1qa_	(A387-A465,A311-A386)	Alpha and beta proteins (a+b)	ADC synthase	ADC synthase	ADC synthase	Anthranilate synthase aminodeoxyisochorismate synthase/lyase subunit, TrpE
d1i31a_	1i31_A1	d1i31a_	(A159-A285,A393-A435)	1i31_A2	d1i31a_	(A286-A376,A377-A392)	All beta proteins	Common fold of diphtheria toxin/transcription factors/cytochrome f	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor
d1i50h_	1i50_H1	d1i50h_	(H2-H63)	1i50_H2	d1i50h_	(H76-H146)	All beta proteins	OB-fold	Nucleic acid-binding proteins	RNA polymerase subunit RBP8	RNA polymerase subunit RBP8
d1i7oa1	1i7o_A1	d1i7oa1	(A1-A218)	1i7o_A2	d1i7oa2	(A219-A429)	Alpha and beta proteins (a+b)	FAH	FAH	FAH	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase HpcE
d1i8da1	1i8d_A1	d1i8da1	(A1-A93)	1i8d_A2	d1i8da2	(A94-A206)	All beta proteins	Reductase/isomerase/elongation factor common domain	Riboflavin synthase domain-like	Riboflavin synthase	Riboflavin synthase
d1idua_	1idu_A1	d1idua_	(A3-A239)	1idu_A2	d1idua_	(A240-A578)	All alpha proteins	Acid phosphatase/Vanadium-dependent haloperoxidase	Acid phosphatase/Vanadium-dependent haloperoxidase	Chloroperoxidase	Chloroperoxidase
d1iica1	1iic_A1	d1iica1	(A34-A226)	1iic_A2	d1iica2	(A227-A455)	Alpha and beta proteins (a+b)	Acyl-CoA N-acyltransferases (Nat)	Acyl-CoA N-acyltransferases (Nat)	N-myristoyl transferase, NMT	N-myristoyl transferase, NMT
d1in0b1	1in0_A1	d1in0a2	(A101-A163,A2-A9)	1in0_A2	d1in0a1	(A10-A89,A90-A100)	Alpha and beta proteins (a+b)	Ferredoxin-like	YajQ-like	YajQ-like	Hypothetical protein HI1034
d1is2a1	1is2_A1	d1is2a1	(A272-A442)	1is2_A2	d1is2a2	(A475-A603)	All alpha proteins	Bromodomain-like	Acyl-CoA dehydrogenase C-terminal domain-like	Peroxisomal acyl-CoA oxidase-II, domains 3 and 4	Peroxisomal acyl-CoA oxidase-II, domains 3 and 4
d1isva1_1	1isv_A1	d1isva1	(A304-A353)	1isv_A2	d1isva1	(A354-A395)	All beta proteins	beta-Trefoil	Ricin B-like lectins	Ricin B-like	Xylan binding domain, CBM13 (Endo-1,4-beta-xylanase C-terminal domain)
d1isva1_2	1isv_A2	d1isva1	(A354-A395)	1isv_A3	d1isva1	(A396-A436)	All beta proteins	beta-Trefoil	Ricin B-like lectins	Ricin B-like	Xylan binding domain, CBM13 (Endo-1,4-beta-xylanase C-terminal domain)
d1isva1_3	1isv_A1	d1isva1	(A304-A353)	1isv_A3	d1isva1	(A396-A436)	All beta proteins	beta-Trefoil	Ricin B-like lectins	Ricin B-like	Xylan binding domain, CBM13 (Endo-1,4-beta-xylanase C-terminal domain)
d1itbb1	1itb_B1	d1itbb1	(B6-B101)	1itb_B2	d1itbb2	(B102-B204)	All beta proteins	Immunoglobulin-like beta-sandwich	Immunoglobulin	I set domains	Type-1 interleukin-1 receptor
d1itkb1	1itk_B1	d1itkb1	(B60-B433)	1itk_B2	d1itkb2	(B445-B731)	All alpha proteins	Heme-dependent peroxidases	Heme-dependent peroxidases	Catalase-peroxidase KatG	Catalase-peroxidase KatG
d1iwga1	1iwg_A1	d1iwga1	(A38-A134)	1iwg_A3	d1iwga3	(A567-A673)	Alpha and beta proteins (a+b)	Ferredoxin-like	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains	Multidrug efflux transporter AcrB pore domain; PN1, PN2, PC1 and PC2 subdomains
d1iwga5	1iwg_A5	d1iwga5	(A182-A273)	1iwg_A6	d1iwga6	(A725-A812)	Alpha and beta proteins (a+b)	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains	Multidrug efflux transporter AcrB TolC docking domain; DN and DC subdomains
d1iwga7	1iwg_A7	d1iwga7	(A7-A37,A331-A498)	1iwg_A8	d1iwga8	(A513-A566,A869-A1036)	Membrane and cell surface proteins and peptides	Multidrug efflux transporter AcrB transmembrane domain	Multidrug efflux transporter AcrB transmembrane domain	Multidrug efflux transporter AcrB transmembrane domain	Multidrug efflux transporter AcrB transmembrane domain
d1j6za1	1j6z_A1	d1j6za1	(A4-A146)	1j6z_A2	d1j6za2	(A147-A372)	Alpha and beta proteins (a/b)	Ribonuclease H-like motif	Actin-like ATPase domain	Actin/HSP70	Actin
d1j7na1	1j7n_A1	d1j7na1	(A42-A251)	1j7n_A2	d1j7na2	(A581-A773)	Alpha and beta proteins (a+b)	Zincin-like	Metalloproteases ("zincins"), catalytic domain	Anthrax toxin lethal factor, N- and C-terminal domains	Anthrax toxin lethal factor, N- and C-terminal domains
d1jaw_2	1jaw_A1	d1jaw_2	(A177-A281)	1jaw_A2	d1jaw_2	(A282-A440)	Alpha and beta proteins (a+b)	Creatinase/aminopeptidase	Creatinase/aminopeptidase	Creatinase/aminopeptidase	Aminopeptidase P, C-terminal domain
d1jfla1	1jfl_A1	d1jfla1	(A1-A115)	1jfl_A2	d1jfla2	(A116-A228)	Alpha and beta proteins (a/b)	ATC-like	Aspartate/glutamate racemase	Aspartate/glutamate racemase	Aspartate racemase
d1jh7a_	1jh7_A1	d1jh7a_	(A1-A85)	1jh7_A2	d1jh7a_	(A86-A183)	Alpha and beta proteins (a+b)	LigT-like	LigT-like	tRNA splicing product Appr>p cyclic nucleotide phosphodiesterase	tRNA splicing product Appr>p cyclic nucleotide phosphodiesterase
d1jlya1_1	1jly_A1	d1jlya1	(A1-A53)	1jly_A2	d1jlya1	(A54-A106)	All beta proteins	beta-Trefoil	Agglutinin	Agglutinin	Agglutinin
d1jlya1_2	1jly_A2	d1jlya1	(A54-A106)	1jly_A3	d1jlya1	(A107-A153)	All beta proteins	beta-Trefoil	Agglutinin	Agglutinin	Agglutinin
d1jlya1_3	1jly_A1	d1jlya1	(A1-A53)	1jly_A3	d1jlya1	(A107-A153)	All beta proteins	beta-Trefoil	Agglutinin	Agglutinin	Agglutinin
d1jnxx1	1jnx_X1	d1jnxx1	(X1649-X1757)	1jnx_X2	d1jnxx2	(X1758-X1859)	Alpha and beta proteins (a/b)	BRCT domain	BRCT domain	Breast cancer associated protein, BRCA1	Breast cancer associated protein, BRCA1
d1jr2a_	1jr2_A1	d1jr2a_	(A1-A136)	1jr2_A2	d1jr2a_	(A137-A260)	Alpha and beta proteins (a/b)	Uroporphyrinogen III synthase (U3S, HemD)	Uroporphyrinogen III synthase (U3S, HemD)	Uroporphyrinogen III synthase (U3S, HemD)	Uroporphyrinogen III synthase (U3S, HemD)
d1jsg__	1jsg_A1	d1jsg__	(A4-A57)	1jsg_A2	d1jsg__	(A58-A114)	All beta proteins	Oncogene products	Oncogene products	Oncogene products	p14-TCL1
d1jtgb_	1jtg_B1	d1jtgb_	(B1-B79)	1jtg_B2	d1jtgb_	(B80-B165)	Alpha and beta proteins (a+b)	beta-lactamase-inhibitor protein, BLIP	beta-lactamase-inhibitor protein, BLIP	beta-lactamase-inhibitor protein, BLIP	beta-lactamase-inhibitor protein, BLIP
d1k28d1	1k28_D1	d1k28d1	(D32-D111)	1k28_D2	d1k28d2	(D227-D359)	All beta proteins	Phage tail proteins	Phage tail proteins	Baseplate structural protein gp27	Baseplate structural protein gp27
d1k2yx1_1	1k2y_X1	d1k2yx1	(X5-X152)	1k2y_X2	d1k2yx2	(X153-X258)	Alpha and beta proteins (a/b)	Phosphoglucomutase, first 3 domains	Phosphoglucomutase, first 3 domains	Phosphoglucomutase, first 3 domains	Phosphomannomutase/phosphoglucomutase
d1k2yx1_2	1k2y_X2	d1k2yx2	(X153-X258)	1k2y_X3	d1k2yx3	(X259-X367)	Alpha and beta proteins (a/b)	Phosphoglucomutase, first 3 domains	Phosphoglucomutase, first 3 domains	Phosphoglucomutase, first 3 domains	Phosphomannomutase/phosphoglucomutase
d1k2yx1_3	1k2y_X1	d1k2yx1	(X5-X152)	1k2y_X3	d1k2yx3	(X259-X367)	Alpha and beta proteins (a/b)	Phosphoglucomutase, first 3 domains	Phosphoglucomutase, first 3 domains	Phosphoglucomutase, first 3 domains	Phosphomannomutase/phosphoglucomutase
d1k6ka_	1k6k_A1	d1k6ka_	(A1-A73)	1k6k_A2	d1k6ka_	(A74-A142)	All alpha proteins	Double Clp-N motif	Double Clp-N motif	Double Clp-N motif	N-terminal, ClpS-binding domain of ClpA, an Hsp100 chaperone
d1k8kd1	1k8k_D1	d1k8kd1	(D13-D122)	1k8k_D2	d1k8kd2	(D123-D253)	Alpha and beta proteins (a+b)	Secretion chaperone-like	Arp2/3 complex subunits	Arp2/3 complex subunits	ARPC2 (34 kDa subunit)
d1kapp1	1kap_P1	d1kapp1	(P253-P333)	1kap_P2	d1kapp1	(P370-P470)	All beta proteins	Single-stranded right-handed beta-helix	beta-Roll	Serralysin-like metalloprotease, C-terminal domain	Metalloprotease
d1kg1a_	1kg1_A1	d1kg1a_	(A1-A27)	1kg1_A2	d1kg1a_	(A28-A60)	Small proteins	Necrosis inducing protein 1, NIP1	Necrosis inducing protein 1, NIP1	Necrosis inducing protein 1, NIP1	Necrosis inducing protein 1, NIP1
d1kiza_	1kiz_B1	d1kizb_	(B55-B169)	1kiz_B2	d1kizb_	(B170-B307)	All alpha proteins	Terpenoid synthases	Terpenoid synthases	Trichodiene synthase	Trichodiene synthase
d1knca_	1knc_A1	d1knca_	(A22-A92)	1knc_A2	d1knca_	(A104-A175)	All alpha proteins	AhpD-like	AhpD-like	Antioxidant defense protein AhpD	Antioxidant defense protein AhpD
d1kplb_	1kpl_B1	d1kplb_	(B12-B240)	1kpl_B2	d1kplb_	(B241-B462)	Membrane and cell surface proteins and peptides	Clc chloride channel	Clc chloride channel	Clc chloride channel	Clc chloride channel
d1kt1a2	1kt1_A1	d1kt1a2	(A28-A138)	1kt1_A2	d1kt1a3	(A139-A253)	Alpha and beta proteins (a+b)	FKBP-like	FKBP-like	FKBP immunophilin/proline isomerase	FKBP51, N-terminal domains
d1ky9b1	1ky9_B1	d1ky9b1	(B268-B349)	1ky9_B2	d1ky9b2	(B375-B446)	All beta proteins	PDZ domain-like	PDZ domain-like	HtrA-like serine proteases	Protease Do (DegP, HtrA), C-terminal domains
d1kzqa1	1kzq_A1	d1kzqa1	(A3-A130)	1kzq_A2	d1kzqa2	(A137-A255)	All beta proteins	Cupredoxin-like	Major surface antigen p30, SAG1	Major surface antigen p30, SAG1	Major surface antigen p30, SAG1
d1lara1	1lar_A1	d1lara1	(A1307-A1623)	1lar_A2	d1lara2	(A1628-A1876)	Alpha and beta proteins (a/b)	(Phosphotyrosine protein) phosphatases II	(Phosphotyrosine protein) phosphatases II	Higher-molecular-weight phosphotyrosine protein phosphatases	RPTP Lar
d1li1a1	1li1_A1	d1li1a1	(A5-A114)	1li1_A2	d1li1a2	(A115-A228)	Alpha and beta proteins (a+b)	C-type lectin-like	C-type lectin-like	Noncollagenous (NC1) domain of collagen IV	Noncollagenous (NC1) domain of collagen IV
d1lpba1	1lpb_A1	d1lpba1	(A6-A42)	1lpb_A2	d1lpba2	(A43-A90)	Small proteins	Knottins (small inhibitors, toxins, lectins)	Colipase-like	Colipase-like	(Pro)colipase
d1m98a1	1m98_A1	d1m98a1	(A2-A90)	1m98_A2	d1m98a1	(A91-A175)	All alpha proteins	Orange carotenoid protein, N-terminal domain	Orange carotenoid protein, N-terminal domain	Orange carotenoid protein, N-terminal domain	Orange carotenoid protein, N-terminal domain
d1m9na2	1m9n_A1	d1m9na2	(A201-A394)	1m9n_A2	d1m9na2	(A395-A592)	Alpha and beta proteins (a/b)	Cytidine deaminase-like	AICAR transformylase domain of bifunctional purine biosynthesis enzyme ATIC	AICAR transformylase domain of bifunctional purine biosynthesis enzyme ATIC	AICAR transformylase domain of bifunctional purine biosynthesis enzyme ATIC
d1m9sa2	1m9s_A1	d1m9sa2	(A391-A465)	1m9s_A2	d1m9sa3	(A466-A551)	All beta proteins	SH3-like barrel	GW domain	GW domain	Internalin B, C-terminal domains
d1moq__	1moq_A1	d1moq__	(A243-A430)	1moq_A2	d1moq__	(A431-A608)	Alpha and beta proteins (a/b)	SIS domain	SIS domain	double-SIS domain	"Isomerase domain" of glucosamine 6-phosphate synthase (GLMS)
d1msva_	1msv_A1	d1msva_	(A4-A166)	1msv_A2	d1msva_	(A167-A328)	Alpha and beta proteins (a+b)	S-adenosylmethionine decarboxylase	S-adenosylmethionine decarboxylase	S-adenosylmethionine decarboxylase	S-adenosylmethionine decarboxylase
d1n0fg_	1n0f_A1	d1n0fa_	(A22-A101)	1n0f_A2	d1n0fa_	(A102-A162)	All beta proteins	AbrB/MazE/MraZ-like	AbrB/MazE/MraZ-like	Hypothetical protein MraZ	Hypothetical protein MraZ
d1n2ma_	1n2m_A1	d1n2ma_	(A7-A84,A152-A165)	1n2m_A2	d1n2ma_	(A101-A151,A85-A100)	Alpha and beta proteins (a+b)	Pyruvoyl-dependent histidine and arginine decarboxylases	Pyruvoyl-dependent histidine and arginine decarboxylases	Arginine decarboxylase	Arginine decarboxylase
d1n81a_	1n81_A1	d1n81a_	(A21-A113)	1n81_A2	d1n81a_	(A114-A206)	All alpha proteins	Gametocyte protein Pfg27	Gametocyte protein Pfg27	Gametocyte protein Pfg27	Gametocyte protein Pfg27
d1nol_2	1nol_A1	d1nol_2	(A154-A250)	1nol_A2	d1nol_2	(A251-A379)	All alpha proteins	Di-copper centre-containing domain	Di-copper centre-containing domain	Hemocyanin middle domain	Arthropod hemocyanin
d1nu9c1	1nu9_C1	d1nu9c1	(C1-C145)	1nu9_C2	d1nu9c2	(C146-C281)	All alpha proteins	immunoglobulin/albumin-binding domain-like	Staphylocoagulase	Staphylocoagulase	Staphylocoagulase
d1o70a1	1o70_A1	d1o70a1	(A328-A467)	1o70_A2	d1o70a2	(A468-A623)	All beta proteins	FAS1 domain	FAS1 domain	FAS1 domain	Fasciclin I
d1o9sa2	1o9s_A1	d1o9sa2	(A194-A288)	1o9s_A2	d1o9sa2	(A289-A366)	All beta proteins	beta-clip	SET domain	Histone lysine methyltransferases	Histone H3 K4-specific methyltransferase SET7/9 catalytic domain
d1ocka_	1ock_A1	d1ocka_	(A53-A209)	1ock_A2	d1ocka_	(A218-A408)	Alpha and beta proteins (a/b)	Amidase signature (AS) enzymes	Amidase signature (AS) enzymes	Amidase signature (AS) enzymes	Malonamidase E2
d1opma1	1opm_A1	d1opma1	(A45-A200)	1opm_A2	d1opma2	(A201-A354)	All beta proteins	Nucleoplasmin-like/VP (viral coat and capsid proteins)	PHM/PNGase F	Peptidylglycine alpha-hydroxylating monooxygenase, PHM	Peptidylglycine alpha-hydroxylating monooxygenase, PHM
d1pg6a_	1pg6_A1	d1pg6a_	(A5-A92)	1pg6_A2	d1pg6a_	(A93-A156)	All beta proteins	Double-stranded beta-helix	TRAP-like	Hypothetical protein SPyM3 0169 (SPyM18 0222, SPS0176)	Hypothetical protein SPyM3 0169 (SPyM18 0222, SPS0176)
d1pgja1	1pgj_A1	d1pgja1	(A179-A324)	1pgj_A2	d1pgja1	(A325-A478)	All alpha proteins	6-phosphogluconate dehydrogenase C-terminal domain-like	6-phosphogluconate dehydrogenase C-terminal domain-like	Hydroxyisobutyrate and 6-phosphogluconate dehydrogenase domain	6-phosphogluconate dehydrogenase (6PGD)
d1pprm1	1ppr_M1	d1pprm1	(M1-M156)	1ppr_M2	d1pprm2	(M157-M312)	All alpha proteins	Peridinin-chlorophyll protein	Peridinin-chlorophyll protein	Peridinin-chlorophyll protein	Peridinin-chlorophyll protein
d1pv5a_	1pv5_A1	d1pv5a_	(A145-A261,A1-A26)	1pv5_A2	d1pv5a_	(A27-A130,A131-A144)	Alpha and beta proteins (a+b)	Hypothetical protein YwqG	Hypothetical protein YwqG	Hypothetical protein YwqG	Hypothetical protein YwqG
d1pv6a_	1pw4_A1	d1pw4a_	(A5-A226)	1pw4_A2	d1pw4a_	(A240-A451)	Membrane and cell surface proteins and peptides	MFS general substrate transporter	MFS general substrate transporter	Glycerol-3-phosphate transporter	Glycerol-3-phosphate transporter
d1qd1b1	1qd1_B1	d1qd1b1	(B2002-B2177)	1qd1_B2	d1qd1b2	(B2178-B2326)	Alpha and beta proteins (a+b)	Ferredoxin-like	Formiminotransferase domain of formiminotransferase-cyclodeaminase.	Formiminotransferase domain of formiminotransferase-cyclodeaminase.	Formiminotransferase domain of formiminotransferase-cyclodeaminase.
d1qhga1	1qhg_A1	d1qhga1	(A1-A84,A85-A108,A206-A318)	1qhg_A2	d1qhga2	(A319-A388,A556-A569,A570-A651)	Alpha and beta proteins (a/b)	P-loop containing nucleoside triphosphate hydrolases	P-loop containing nucleoside triphosphate hydrolases	Tandem AAA-ATPase domain	DEXX box DNA helicase
d1qjsa1	1qjs_A1	d1qjsa1	(A24-A218)	1qjs_A2	d1qjsa2	(A223-A435)	All beta proteins	4-bladed beta-propeller	Hemopexin-like domain	Hemopexin-like domain	Hemopexin
d2bs2c1	2bs2_C1	d2bs2c1	(C1-C103)	2bs2_C2	d2bs2c1	(C104-C254)	Membrane and cell surface proteins and peptides	Heme-binding four-helical bundle	Fumarate reductase respiratory complex transmembrane subunits	Fumarate reductase respiratory complex cytochrome b subunit, FrdC	Fumarate reductase respiratory complex cytochrome b subunit, FrdC
d1qm4a1	1qm4_A1	d1qm4a1	(A17-A116)	1qm4_A2	d1qm4a2	(A129-A252)	Alpha and beta proteins (a+b)	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase	S-adenosylmethionine synthetase
d1qmea1	1qme_A1	d1qmea1	(A632-A692)	1qme_A2	d1qmea2	(A693-A750)	Alpha and beta proteins (a+b)	Penicillin-binding protein 2x (pbp-2x), c-terminal domain	Penicillin-binding protein 2x (pbp-2x), c-terminal domain	Penicillin-binding protein 2x (pbp-2x), c-terminal domain	Penicillin-binding protein 2x (pbp-2x), c-terminal domain
d1qmha2_1	1qmh_A1	d1qmha2	(A5-A85)	1qmh_A2	d1qmha2	(A86-A179)	Alpha and beta proteins (a+b)	IF3-like	EPT/RTPC-like	RNA 3'-terminal phosphate cyclase, RPTC	RNA 3'-terminal phosphate cyclase, RPTC
d1qmha2_2	1qmh_A1	d1qmha2	(A5-A85)	1qmh_A3	d1qmha2	(A180-A338)	Alpha and beta proteins (a+b)	IF3-like	EPT/RTPC-like	RNA 3'-terminal phosphate cyclase, RPTC	RNA 3'-terminal phosphate cyclase, RPTC
d1qqga1	1qqg_A1	d1qqga1	(A12-A114)	1qqg_A2	d1qqga2	(A159-A262)	All beta proteins	PH domain-like	PH domain-like	Phosphotyrosine-binding domain (PTB)	Insulin receptor substrate 1, IRS-1
d1qr0a1	1qr0_A1	d1qr0a1	(A1-A101)	1qr0_A2	d1qr0a2	(A102-A207)	Alpha and beta proteins (a+b)	4'-phosphopantetheinyl transferase	4'-phosphopantetheinyl transferase	4'-Phosphopantetheinyl transferase SFP	4'-Phosphopantetheinyl transferase SFP
d1qs1a1	1qs1_A1	d1qs1a1	(A60-A262)	1qs1_A2	d1qs1a2	(A263-A461)	Alpha and beta proteins (a+b)	ADP-ribosylation	ADP-ribosylation	ADP-ribosylating toxins	Vegetative insecticidal protein 2 (VIP2)
d1qtqa1	1qtq_A1	d1qtqa1	(A339-A442)	1qtq_A2	d1qtqa1	(A454-A547)	All beta proteins	Ribosomal protein L25-like	Ribosomal protein L25-like	Gln-tRNA synthetase (GlnRS), C-terminal (anticodon-binding) domain	Gln-tRNA synthetase (GlnRS), C-terminal (anticodon-binding) domain
d1qunb1	1qun_B1	d1qunb1	(B1-B158)	1qun_B2	d1qunb2	(B159-B279)	All beta proteins	Common fold of diphtheria toxin/transcription factors/cytochrome f	Bacterial adhesins	Pilus subunits	Mannose-specific adhesin FimH
d1r51a1	1r51_A1	d1r51a1	(A2-A137)	1r51_A2	d1r51a2	(A138-A295)	Alpha and beta proteins (a+b)	T-fold	Tetrahydrobiopterin biosynthesis enzymes-like	Urate oxidase (uricase)	Urate oxidase (uricase)
d1r56e2	1r51_A1	d1r51a1	(A2-A136)	1r51_A2	d1r51a2	(A137-A295)	Alpha and beta proteins (a+b)	T-fold	Tetrahydrobiopterin biosynthesis enzymes-like	Urate oxidase (uricase)	Urate oxidase (uricase)
d1rhza_	1rhz_A1	d1rhza_	(A2-A204)	1rhz_A2	d1rhza_	(A205-A433)	Membrane and cell surface proteins and peptides	Preprotein translocase SecY subunit	Preprotein translocase SecY subunit	Preprotein translocase SecY subunit	Preprotein translocase SecY subunit
d1rl6a1	1rl6_A1	d1rl6a1	(A7-A77)	1rl6_A2	d1rl6a2	(A78-A170)	Alpha and beta proteins (a+b)	Ribosomal protein L6	Ribosomal protein L6	Ribosomal protein L6	Ribosomal protein L6
d1rwtj_	1rwt_A1	d1rwta_	(A14-A134)	1rwt_A2	d1rwta_	(A135-A231)	Membrane and cell surface proteins and peptides	Chlorophyll a-b binding protein	Chlorophyll a-b binding protein	Chlorophyll a-b binding protein	Chlorophyll a-b binding protein
d1s3na_	1s3n_A1	d1s3na_	(A1-A81)	1s3n_A2	d1s3na_	(A82-A141)	Alpha and beta proteins (a+b)	Metallo-dependent phosphatases	Metallo-dependent phosphatases	YfcE-like	Putative phosphodiesterase MJ0936
d1skz_1	1skz_A1	d1skz_1	(A7-A60)	1skz_A2	d1skz_2	(A61-A110)	Small proteins	Knottins (small inhibitors, toxins, lectins)	Leech antihemostatic proteins	Huristasin-like	Factor Xa inhibitor antistasin
d1squa_	1squ_A1	d1squa_	(A1-A39,A129-A152)	1squ_A2	d1squa_	(A75-A128,A40-A74)	Alpha and beta proteins (a+b)	CheC-like	CheC-like	CheC-like	Chemotaxis protein CheX
d1sr9b3	1sr9_A1	d1sr9a3	(A492-A521,A522-A546)	1sr9_A2	d1sr9a3	(A547-A577,A615-A643)	Alpha and beta proteins (a+b)	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain	2-isopropylmalate synthase LeuA, allosteric (dimerisation) domain
d1sumb_	1sum_B1	d1sumb_	(B2-B113)	1sum_B2	d1sumb_	(B114-B225)	All alpha proteins	Spectrin repeat-like	PhoU-like (Pfam 01895)	PhoU-like (Pfam 01895)	PhoU homolog TM1734
d1t0ty_	1t0t_V1	d1t0tv_	(V6-V133)	1t0t_V2	d1t0tv_	(V134-V248)	Alpha and beta proteins (a+b)	Ferredoxin-like	Dimeric alpha+beta barrel	Chlorite dismutase-like (Pfam 06778)	YwfI homologue
d1t3ta3	1t3t_A1	d1t3ta3	(A1-A69)	1t3t_A2	d1t3ta3	(A70-A152)	Alpha and beta proteins (a+b)	PurS-like	PurS-like	FGAM synthase PurL, PurS-like domain	FGAM synthase PurL, PurS-like domain
d1tbrr1	1tbr_R1	d1tbrr1	(R1-R55)	1tbr_R2	d1tbrr2	(R56-R103)	Small proteins	Kazal-type serine protease inhibitors	Kazal-type serine protease inhibitors	Ovomucoid domain III-like	Blood-sucking insect-derived tryptase inhibitor
d1tdj_2	1tdj_A1	d1tdj_2	(A336-A423)	1tdj_A2	d1tdj_3	(A424-A514)	Alpha and beta proteins (a+b)	Ferredoxin-like	ACT-like	Allosteric threonine deaminase C-terminal domain	Allosteric threonine deaminase C-terminal domain
d1tocr1	1toc_R1	d1tocr1	(R1-R59)	1toc_R2	d1tocr2	(R60-R119)	Small proteins	BPTI-like	BPTI-like	Soft tick anticoagulant proteins	Ornithodorin
d1ttua3	1ttu_A1	d1ttua3	(A381-A439)	1ttu_A3	d1ttua3	(A484-A541)	All beta proteins	beta-Trefoil	DNA-binding protein LAG-1 (CSL)	DNA-binding protein LAG-1 (CSL)	DNA-binding protein LAG-1 (CSL)
d1utaa_	1uta_A1	d1utaa_	(A243-A256,A293-A319)	1uta_A2	d1utaa_	(A282-A292,A257-A281)	Alpha and beta proteins (a+b)	Ferredoxin-like	Sporulation related repeat (SPOR, Pfam 05036)	Sporulation related repeat (SPOR, Pfam 05036)	Cell division protein FtsN
d1v9ma_	1v9m_A1	d1v9ma_	(A78-A178)	1v9m_A2	d1v9ma_	(A186-A280)	Membrane and cell surface proteins and peptides	V-type ATP synthase subunit C	V-type ATP synthase subunit C	V-type ATP synthase subunit C	V-type ATP synthase subunit C
d1vjla_	1vjl_A1	d1vjla_	(A1-A67)	1vjl_A2	d1vjla_	(A68-A150)	Alpha and beta proteins (a+b)	Hypothetical protein TM0160	Hypothetical protein TM0160	Hypothetical protein TM0160	Hypothetical protein TM0160
d1vk6a1	1vk6_A1	d1vk6a1	(A1-A125)	1vk6_A2	d1vk6a2	(A126-A256)	Alpha and beta proteins (a+b)	Nudix	Nudix	NADH pyrophosphatase	NADH pyrophosphatase
